Sample;Replicate;Total;SubA;SubB
1;rep 1;84795;10003;258
1;rep 2;85302;10008;258
1;rep 3;84507;10006;252
2;rep 1;75061;10984;779
2;rep 2;74208;11007;760
2;rep 3;73866;11033;740
3;rep 1;34590;9720;169
3;rep 2;30936;9705;150
3;rep 3;31364;9697;142
5;rep 1;24872;10282;976
5;rep 2;24386;10290;1086
5;rep 3;24328;10253;1057
7;rep 1;47286;8127;327
7;rep 2;52703;8928;377
7;rep 3;53619;9530;401
8;rep 1;29578;10529;4001
8;rep 2;29352;7556;3368
8;rep 3;28819;10479;4041
9;rep 1;139774;9875;463
9;rep 2;115865;8174;431
9;rep 3;128105;9107;435
10;rep 1;94601;10000;1057
10;rep 2;92189;10000;991
10;rep 3;89044;10000;983
13;rep 1;62864;12673;355
13;rep 2;63236;12593;325
13;rep 3;60920;12123;329
14;rep 1;38746;9730;1775
14;rep 2;39418;9926;1898
14;rep 3;39583;9824;1750
